name,parent
English | Long (130+ mins) | 1950-1990 | History,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Horror,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Musical,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Mystery,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Political,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Religious,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Romance,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Science Fiction,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Sport,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Thriller,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | War,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Western,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Avant-Garde,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1990-Now | Action,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Comedy,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Crime,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Documentary,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Drama,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | History,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Horror,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Musical,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Mystery,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Prison,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Romance,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Science Fiction,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | Thriller,English | Long (130+ mins) | 1990-Now
English | Long (130+ mins) | 1990-Now | War,English | Long (130+ mins) | 1990-Now
English | Short (100 mins or less) | Pre-1950 | Adventure,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Animated,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Comedy,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Crime,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Documentary,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Drama,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Fantasy,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Horror,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Musical,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Mystery,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Political,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Religious,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Romance,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Spy,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Thriller,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | War,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Western,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | Pre-1950 | Avant-Garde,English | Short (100 mins or less) | Pre-1950
English | Short (100 mins or less) | 1950-1990 | Action,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Adventure,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Comedy,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Crime,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Documentary,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Drama,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Fantasy,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | History,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Horror,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Musical,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Romance,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Science Fiction,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Sport,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Spy,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Thriller,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | War,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Western,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1950-1990 | Avant-Garde,English | Short (100 mins or less) | 1950-1990
English | Short (100 mins or less) | 1990-Now | Animated,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Comedy,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Crime,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Documentary,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Drama,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Fantasy,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | History,English | Short (100 mins or less) | 1990-Now
English | Short (100 mins or less) | 1990-Now | Romance,English | Short (100 mins or less) | 1990-Now
Foreign | Average (100-130 mins) | Pre-1950 | Comedy,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Documentary,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Drama,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Fantasy,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | History,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Prison,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Romance,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | Thriller,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | Pre-1950 | War,Foreign | Average (100-130 mins) | Pre-1950
Foreign | Average (100-130 mins) | 1950-1990 | Action,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Adventure,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Animated,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Biography,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Comedy,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Crime,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Documentary,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Drama,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Fantasy,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | History,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Horror,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Musical,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Mystery,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Political,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Prison,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Religious,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Romance,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | Thriller,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1950-1990 | War,Foreign | Average (100-130 mins) | 1950-1990
Foreign | Average (100-130 mins) | 1990-Now | Action,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Adventure,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Animated,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Biography,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Comedy,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Crime,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Documentary,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Drama,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Fantasy,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | History,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Horror,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Romance,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Science Fiction,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Average (100-130 mins) | 1990-Now | Thriller,Foreign | Average (100-130 mins) | 1990-Now
Foreign | Long (130+ mins) | Pre-1950 | Crime,Foreign | Long (130+ mins) | Pre-1950
Foreign | Long (130+ mins) | Pre-1950 | Documentary,Foreign | Long (130+ mins) | Pre-1950
Foreign | Long (130+ mins) | Pre-1950 | Drama,Foreign | Long (130+ mins) | Pre-1950
Foreign | Long (130+ mins) | Pre-1950 | Fantasy,Foreign | Long (130+ mins) | Pre-1950
Foreign | Long (130+ mins) | Pre-1950 | History,Foreign | Long (130+ mins) | Pre-1950
Foreign | Long (130+ mins) | Pre-1950 | Romance,Foreign | Long (130+ mins) | Pre-1950
